,10 Cornell - Commons Shuttle                                   ,,,,,,,,,,,,,
,Loop,,,,,,,,,,,,,
,Weekday,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Seneca @ Commons Depart,Goldwin Smith Hall,Seneca @ Commons Arrive - Rt 10,,,,,,,,,,
,,12:57,1:01,1:05,1:10,1:14,1:18,1:22,-,-,,,,
,,1:27,1:31,1:35,1:40,1:44,1:48,-,1:54,1:58,,,,
,,1:57,2:01,2:05,2:10,2:14,2:18,2:22,-,-,,,,
,,2:27,2:31,2:35,2:40,2:44,2:48,-,2:54,2:58,,,,
,,2:57,3:01,3:05,3:10,3:14,3:18,3:22,-,-,,,,
,,3:27,3:31,3:35,3:40,3:44,3:48,-,3:54,3:58,,,,
,,3:57,4:01,4:05,4:10,4:14,4:18,4:22,-,-,,,,
,,4:27,4:31,4:35,4:40,4:44,4:48,-,4:54,4:58,,,,
,,4:57,5:01,5:05,5:10,5:14,5:18,5:22,-,-,,,,
,,5:27,5:31,5:35,5:40,5:44,5:48,-,5:54,5:58,,,,
,,5:57,6:01,6:05,6:10,6:14,6:18,6:22,-,-,,,,
,,6:27,6:31,6:35,6:40,6:44,6:48,-,6:54,6:58,,,,
,,6:57,7:01,7:05,7:10,7:14,7:18,7:22,-,-,,,,
,,7:27,7:31,7:35,7:40,7:44,7:48,7:52,-,-,,,,
,,7:57,8:01,8:05,8:10,8:14,8:18,8:22,-,-,,,,
,,8:27,8:31,8:32,-,-,-,8:41,-,-,,,,
,,8:57,9:01,9:02,-,-,-,9:11,-,-,,,,
,,8:57,9:01,9:02,-,-,-,9:11,-,-,,,,
,,9:27,9:31,9:32,-,-,-,9:41,-,-,,,,
,,9:27,9:31,9:32,-,-,-,9:41,-,-,,,,
,,9:57,10:01,10:02,-,-,-,10:11,-,-,,,,
,,9:57,10:01,10:02,-,-,-,10:11,-,-,,,,
,,10:27,10:31,10:32,-,-,-,10:41,-,-,,,,
,,10:27,10:31,10:32,-,-,-,10:41,-,-,,,,
,,10:57,11:01,11:02,-,-,-,11:11,-,-,,,,
,,10:57,11:01,11:02,-,-,-,11:11,-,-,,,,
,,11:27,11:31,11:32,-,-,-,11:41,-,-,,,,
,,11:57,12:01,12:02,12:07,12:11,12:15,12:19,-,-,,,,
,,11:57,12:01,12:02,12:07,12:11,12:15,12:19,-,-,,,,
,,12:27,12:31,12:32,12:37,12:41,12:45,12:49,-,-,,,,
,,12:27,12:31,12:32,12:37,12:41,12:45,12:49,-,-,,,,
,,12:57,1:01,1:02,1:07,1:11,1:15,1:19,-,-,,,,
,,12:57,1:01,1:02,1:07,1:11,1:15,1:19,-,-,,,,
,,1:27,1:31,1:32,1:37,1:41,1:45,1:49,-,-,,,,
,,1:27,1:31,1:32,1:37,1:41,1:45,1:49,-,-,,,,
,,1:57,2:01,2:02,2:07,2:11,2:15,2:19,-,-,,,,
,,,,,,,,,,,,,,
,11 Ithaca College - Commons                                    ,,,,,,,,,,,,,
,Outbound,,,,,,,,,,,,,
,Sunday,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Seneca @ Commons Depart,Green @ Commons Arrive,Green @ Commons Depart,Hudson @ Grandview,IC - Roy Park School,IC - The Towers @ Ithaca College,IC - College Circle Apartments,Longview,South Hill Business Park,,,,
,,-,-,9:05,9:10,9:14,9:18,9:22,-,-,,,,
,,-,-,9:35,9:40,9:44,-,-,-,9:48,,,,
,,-,-,10:05,10:10,10:14,10:18,10:22,-,-,,,,
,,10:27,10:31,10:35,10:40,10:44,-,-,-,10:48,,,,
,,10:57,11:01,11:05,11:10,11:14,11:18,11:22,-,-,,,,
,,11:27,11:31,11:35,11:40,11:44,-,-,-,11:48,,,,
,,11:57,12:01,12:05,12:10,12:14,12:18,12:22,-,-,,,,
,,12:27,12:31,12:35,12:40,12:44,-,-,-,12:48,,,,
,,12:57,1:01,1:05,1:10,1:14,1:18,1:22,-,-,,,,
,,1:27,1:31,1:35,1:40,1:44,1:48,-,1:54,1:58,,,,
,,1:57,2:01,2:05,2:10,2:14,2:18,2:22,-,-,,,,
,,2:27,2:31,2:35,2:40,2:44,2:48,-,2:54,2:58,,,,
,,2:57,3:01,3:05,3:10,3:14,3:18,3:22,-,-,,,,
,,3:27,3:31,3:35,3:40,3:44,3:48,-,3:54,3:58,,,,
,,3:57,4:01,4:05,4:10,4:14,4:18,4:22,-,-,,,,
,,4:27,4:31,4:35,4:40,4:44,4:48,-,4:54,4:58,,,,
,,4:57,5:01,5:05,5:10,5:14,5:18,5:22,-,-,,,,
,,5:27,5:31,5:35,5:40,5:44,5:48,-,5:54,5:58,,,,
,,,,,,,,,,,,,,
,11 Ithaca College - Commons                                    ,,,,,,,,,,,,,
,Inbound,,,,,,,,,,,,,
,Weekday,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,IC - College Circle Apartments,South Hill Business Park,Longview,IC - The Towers @ Ithaca College,IC - Roy Park School,Hudson @ Pearsall,Seneca @ Commons Arrive,,,,,,
,,7:30,-,-,7:36,7:40,7:44,7:48,,,,,,
,,-,7:56,8:00,8:06,8:10,8:14,8:18,,,,,,
,,-,8:56,9:00,9:06,9:10,9:14,9:18,,,,,,
,,9:30,-,-,9:36,9:40,9:44,9:48,,,,,,
,,-,9:56,10:00,10:06,10:10,10:14,10:18,,,,,,
,,-,10:56,11:00,11:06,11:10,11:14,11:18,,,,,,
,,11:30,-,-,11:36,11:40,11:44,11:48,,,,,,
,,-,11:56,12:00,12:06,12:10,12:14,12:18,,,,,,
,,-,12:56,1:00,1:06,1:10,1:14,1:18,,,,,,
,,1:30,-,-,1:36,1:40,1:44,1:48,,,,,,
,,-,2:06,-,-,2:10,2:14,2:18,,,,,,
